Ognoo,Iteminfid,Uldegdel
2022-01-04,151229527874800001,0.00
2022-01-04,160121610393900001,0.00
2022-01-04,160513343594000001,388.00
2022-01-04,160826685080700001,1324.00
2022-01-04,170407678293400001,35.00
2022-01-04,170428381482200001,-78.00
2022-01-04,171030000763800001,11.00
2022-01-04,180213012331300001,-62.00
2022-01-04,180327043373200005,25.00
2022-01-04,180604114334600001,0.00
2022-01-04,180604114351700001,1184.00
2022-01-04,180604114383000001,-23.00
2022-01-04,180704149959400001,29.00
2022-01-04,180706153232200002,185.00
2022-01-04,180706153232200003,21.00
2022-01-04,180706153232200005,181.00
2022-01-04,180920233009700325,-86.00
2022-01-04,190603577080600001,4.00
2022-01-04,190909745530500004,3278.00
2022-01-04,199009170000000056,361.00
2022-01-04,200813226771700001,2531.00
2022-01-04,200826241374700001,51.00
2022-01-04,201104060000000029,-3.00
2022-01-04,201205090000000004,575.00
2022-01-04,201207090000000130,72.00
2022-01-04,210327509663500011,-2.00
2022-01-05,2007121328749,-2.00
2022-01-05,2007121328895,54.00
2022-01-05,2007121329180,333.00
2022-01-05,2007121329377,-295.00
2022-01-05,2007121329379,-97.00
2022-01-05,2007121329380,-90.00
2022-01-05,2007121329381,503.97
2022-01-05,2007121331288,157.00
2022-01-05,2007121332656,5.00
2022-01-05,2007121332659,6.00
2022-01-05,2007121334813,8.00
2022-01-05,120620429994600001,0.00
2022-01-05,120620429994600002,0.00
2022-01-05,120620429994600013,0.00
2022-01-05,120620429994600026,0.00
2022-01-05,140224536726700000,699.00
2022-01-05,150203456119500001,349.00
2022-01-05,150930603566800001,31.00
2022-01-05,151229506383600001,-1.00
2022-01-05,151229527874800001,0.00
2022-01-05,160121610393900001,0.00
2022-01-05,160513343594000001,351.00
2022-01-05,160826685080700001,1314.00
2022-01-05,170407678293400001,29.00
2022-01-05,170428381482200001,0.00
2022-01-05,171030000763800001,11.00
2022-01-05,180213012331300001,393.00
2022-01-05,180327043373200005,26.00
2022-01-05,180604114334600001,0.00
2022-01-05,180604114351700001,1129.00
2022-01-05,180604114383000001,-82.00
2022-01-05,180704149959400001,29.00
2022-01-05,180706153232200002,404.00
2022-01-05,180706153232200003,164.00
2022-01-05,180706153232200005,225.00
2022-01-05,180920233009700325,-92.00
2022-01-05,190603577080600001,7.00
2022-01-05,190909745530500004,3165.00
2022-01-05,199009170000000056,353.00
2022-01-05,200813226771700001,2229.00
2022-01-05,200826241374700001,51.00
2022-01-05,201104060000000029,12.00
2022-01-05,201205090000000004,1047.00
2022-01-05,201207090000000130,35.00
2022-01-05,210327509663500011,-2.00
2022-01-06,2007121328749,-2.00
2022-01-06,2007121328895,54.00
2022-01-06,2007121329180,298.00
2022-01-06,2007121329377,-358.00
2022-01-06,2007121329379,-131.00
2022-01-06,2007121329380,-135.00
2022-01-06,2007121329381,500.97
2022-01-06,2007121331288,134.00
2022-01-06,2007121332656,5.00
2022-01-06,2007121332659,6.00
2022-01-06,2007121334813,3.00
2022-01-06,120620429994600001,0.00
2022-01-06,120620429994600002,0.00
2022-01-06,120620429994600013,0.00
2022-01-06,120620429994600026,0.00
2022-01-06,140224536726700000,695.00
2022-01-06,150203456119500001,329.00
2022-01-06,150930603566800001,16.00
2022-01-06,151229506383600001,2.00
2022-01-06,151229527874800001,8.00
2022-01-06,160121610393900001,0.00
2022-01-06,160513343594000001,340.00
2022-01-06,160826685080700001,1204.00
2022-01-06,170407678293400001,17.00
2022-01-06,170428381482200001,-19.00
2022-01-06,171030000763800001,11.00
2022-01-06,180213012331300001,336.00
2022-01-06,180327043373200005,25.00
2022-01-06,180604114334600001,0.00
2022-01-06,180604114351700001,1086.00
2022-01-06,180604114383000001,-86.00
2022-01-06,180704149959400001,29.00
